aaek,1=阿
hlwb,1=璜
hlwo,1=肓
hlxv,1=慌
hlxw,1=惶
hlzw,1=遑
hocd,1=劐
hocf,1=藿
hocq,1=获
hodk,1=活
hodr,1=火
hody,1=濩
hoey,1=彟
hoff,1=攉
hoga,1=或
hogx,1=夥
hohf,1=㸌
hohk,1=和
hoiy,1=蠖
hojh,1=钬
hojy,1=镬
hokf,1=嚯
hoky,1=嚄
holk,1=耠
hopn,1=祸
horh,1=伙
hork,1=佸
horr,1=货
hoyf,1=霍
hrae,1=鲩
hray,1=鬟
hrbd,1=痪
hrbe,1=郇
hrbi,1=宦
hrby,1=寰
hrcf,1=萑
hrde,1=浣
hrda,1=洹
hrdx,1=漶
hrdy,1=澴
hrea,1=峘
hrfd,1=换
hrfy,1=擐
hrhd,1=焕
hrix,1=患
hrjy,1=锾
hrkd,1=唤
hrky,1=圜
hrny,1=嬛
hroy,1=㬊
hrqf,1=獾
hrsn,1=鹮
hrsy,1=缳
hrte,1=垸
hrwb,1=环
hryv,1=幻
hrzb,1=还
hrzk,1=逭
hsbb,1=谼
hsbk,1=訇
hsbs,1=宏
hscb,1=薨
hscg,1=荭
hsdb,1=洪
hsdf,1=浲
hsdn,1=鸿
hsgs,1=弘
hshb,1=烘
hsig,1=虹
hsiy,1=轰
hskb,1=哄
hskn,1=吽
hskr,1=唝
hsms,1=闳
hssg,1=红
hsss,1=纮
hsub,1=硔
hswg,1=玒
hsyg,1=讧
huaa,1=互
huay,1=鳠
huco,1=葫
hucw,1=芴
hudf,1=隺
hudg,1=瓠
hudh,1=滹
hudo,1=湖
hudw,1=浒
hudx,1=淴
huek,1=岵
hugg,1=弧
hugn,1=鹘
huhb,1=扈
huhk,1=和
huho,1=煳
huhu,1=戽
huih,1=轷
huio,1=蝴
hukh,1=呼
hukj,1=唬
hukw,1=囫
hukx,1=唿
humo,1=糊
humr,1=核
humu,1=槲
hunh,1=嫭
hunk,1=姱
hunn,1=鹄
huny,1=鹱
huoh,1=昈
huow,1=昒
hupk,1=祜
hupl,1=乎
huqg,1=狐
huqo,1=猢
huun,1=鹕
huuy,1=壶
huvw,1=笏
huwj,1=琥
huwo,1=瑚
huwx,1=忽
huxx,1=惚
huye,1=鄠
huyo,1=醐
hvax,1=惠
hvck,1=茴
hvcs,1=荟
hvcx,1=蕙
hvdk,1=洄
hvet,1=堕
hvex,1=隳
hvfe,1=彗
hvfi,1=挥
hvfx,1=慧
hvgg,1=廆
hvgm,1=麾
hvik,1=蛔
hviw,1=徽
hvix,1=蟪
hvjy,1=毁
hvkh,1=咴
hvkk,1=回
hvko,1=贿
hvku,1=喙
hvkx,1=哕
hvms,1=桧
hvmx,1=橞
hvoi,1=晖
hvom,1=晦
hvpw,1=袆
hvss,1=绘
hvtx,1=恚
hvuc,1=卉
hvwi,1=虺
hvxh,1=恢
hvxi,1=辉
hvyh,1=诙
hvym,1=诲
hvyw,1=讳
hwkh,1=嘿
hwlh,1=黑
hxak,1=画
hxcb,1=花
hxdt,1=觟
hxfu,1=砉
hxku,1=哗
hxnk,1=婳
hxqg,1=猾
hxrb,1=化
hxru,1=华
hxyk,1=话
hyci,1=荤
hydb,1=混
hydi,1=浑
hydo,1=湣
hydu,1=溷
hyeg,1=魂
hymo,1=阍
hynb,1=婫
hyno,1=婚
hyub,1=馄
hyuo,1=昏
hyxo,1=惛
hyyi,1=诨
hzak,1=鲘
hzgk,1=骺
hziz,1=厚
hzku,1=喉
hzkv,1=吼
hzpe,1=郈
hzpk,1=后
hzpt,1=垕
hzqu,1=猴
hzru,1=侯
hztu,1=堠
hzvu,1=篌
hzxa,1=鲎
hzzk,1=齁
iabe,1=岔
iabx,1=察
iacm,1=茶
iacq,1=苴
iact,1=茬
iadi,1=汊
iaea,1=嵖
iafm,1=搽
iajj,1=锸
iakx,1=嚓
iama,1=楂
iamg,1=槎
iamh,1=梌
iami,1=杈
iamx,1=檫
ianq,1=姹
iapi,1=衩
iaqa,1=猹
iarq,1=侘
iatq,1=垞
iaxd,1=刹
iayd,1=叉
iayg,1=差
iayq,1=诧
icgk,1=弨
ichu,1=焯
icju,1=钞
icko,1=嘲
icmh,1=槱
icod,1=晁
icuo,1=朝
icvd,1=剿
idbg,1=瘥
idcl,1=茝
idfi,1=拆
idrl,1=侪
idvc,1=豺
idvm,1=柴
idwi,1=虿
idyg,1=差
ieal,1=车
iedw,1=澈
iefv,1=扯
ieid,1=彻
ieow,1=㬚
iepu,1=掣
ieti,1=坼
ifbh,1=疢
ifbn,1=宸
ifdj,1=沉
ifed,1=陈
ifhx,1=称
ifin,1=辰
ifkb,1=嗔
ifkl,1=臣
ifme,1=郴
ifmv,1=梣
ifob,1=瞋
ifon,1=晨
ifrr,1=偁
ifrv,1=伧
iftp,1=趁
ifup,1=碜
ifvb,1=龀
ifwm,1=琛
ifxt,1=尘
ifxv,1=忱
ifyj,1=谶
ifyv,1=谌
igbi,1=宬
igda,1=澄
igdw,1=澂
igfv,1=抢
iggw,1=庱
ighp,1=秤
ighw,1=程
ighx,1=称
igim,1=盛
igit,1=蛏
igix,1=惩
igje,1=铛
igkw,1=呈
igla,1=丞
igma,1=橙
igmi,1=枨
igmt,1=柽
igmv,1=骋
igoi,1=晟
igot,1=塍
igpw,1=裎
igqn,1=乘
igrr,1=偁
igti,1=城
igtr,1=赪
igtw,1=埕
igvn,1=承
igwi,1=珹
igwl,1=琤
igwv,1=成
igxa,1=憕
igxy,1=牚
igyw,1=酲
igzw,1=逞
ihao,1=鲳
ihap,1=厂
ihas,1=鲿
ihco,1=菖
ihdk,1=淌
ihko,1=唱
ihmo,1=阊
ihnj,1=嫦
ihno,1=娼
ihoo,1=昌
ihop,1=肠
ihqo,1=猖
ihri,1=伥
ihro,1=倡
ihrs,1=偿
ihtp,1=场
ihup,1=畅
ihxb,1=鬯
ihxj,1=常
ihxk,1=惝
ihxs,1=尝
ihxw,1=敞
ihxy,1=裳
ihyo,1=昶
iiay,1=豉
iibk,1=痴
iibx,1=瘛
iidx,1=奓
iiev,1=耻
iifc,1=持
iifd,1=摛
iigd,1=魑
iigy,1=弛
iihb,1=炽
iiid,1=螭
iikb,1=叱
iikd,1=哧
iiki,1=嗤
iikq,1=吃
iimd,1=柢
iimy,1=驰
iini,1=媸
iiob,1=匙
iiok,1=眙
iiox,1=眵
iioy,1=胣
iipd,1=斥
iipj,1=褫
iipr,1=彳
iirk,1=佁
iirx,1=傺
iitd,1=坻
iitn,1=墀
iiul,1=饬
iiun,1=尺
iiuw,1=敕
iiux,1=翅
iivj,1=篪
iivk,1=笞
iiwk,1=啻
iixw,1=瓻
iizk,1=踟
ijbl,1=单
ijbn,1=冁
ijcr,1=蒇
ijda,1=澶
ijdt,1=瀍
ijed,1=巉
ijfd,1=搀
ijfp,1=掺
ijgk,1=韂
ijgt,1=廛
ijik,1=蟾
ijil,1=蝉
ijjd,1=镵
ijju,1=镡
ijle,1=觇
ijlp,1=产
ijml,1=阐
ijmz,1=骣
ijnl,1=婵
ijoe,1=旵
ijrd,1=儳
ijsl,1=缠
ijuy,1=羼
ijuz,1=孱
ijwr,1=颤
ijxq,1=忏
ijyd,1=谗
ijze,1=辿
ijzt,1=躔
ikfe,1=揣
ikfj,1=搋
ikky,1=啜
ikze,1=踹
ilbv,1=疮
ilbw,1=窗
ilgm,1=床
iljl,1=幢
ilkl,1=噇
ilml,1=橦
ilrd,1=创
ilxv,1=怆
iodu,1=淖
ioiy,1=辍
ioky,1=啜
iosu,1=绰
iovr,1=龊
ioxg,1=戳
ioxy,1=惙
iozu,1=逴
irji,1=钏
irke,1=圌
irll,1=串
irmu,1=椽
irpl,1=川
irrv,1=传
irto,1=堾
irvk,1=船
irxl,1=舛
irze,1=遄
isbl,1=宠
isce,1=茺
isde,1=㳘
isdv,1=冲
isdx,1=漴
isex,1=崇
isje,1=铳
ispa,1=重
istk,1=埫
isvd,1=虫
iswe,1=珫
isxv,1=忡
iuad,1=亍
iude,1=刍
iudf,1=雏
iudh,1=滁
iudr,1=濋
iueh,1=除
iuel,1=亍
iufk,1=摴
iuft,1=搐
iuhi,1=黜
iuic,1=厨
iuie,1=䢺
iumc,1=橱
iume,1=柷
iumr,1=楚
iumw,1=杵
iupo,1=褚
iuro,1=储
iury,1=俶
iuuq,1=矗
iuvk,1=出
iuvx,1=䝙
iuwb,1=处
iuwt,1=畜
iuxr,1=憷
iuzc,1=蹰
iuzo,1=躇
ivei,1=陲
ivfi,1=捶
ivhr,1=炊
ivji,1=锤
ivke,1=圌
ivkr,1=吹
ivmf,1=椎
ivmi,1=棰
ivpa,1=垂
ivri,1=倕
ixhr,1=欻
iyao,1=䲠
iyct,1=莼
iyfi,1=蠢
iyfo,1=春
iyik,1=唇
iyio,1=蝽
iymo,1=椿
iyok,1=朐
iyot,1=肫
iyst,1=纯
iywn,1=鹑
iywo,1=瑃
izbp,1=瘳
izfy,1=抽
izhk,1=稠
izjc,1=帱
izmc,1=梼
izmk,1=椆
iznk,1=婤
izoh,1=瞅
izrc,1=俦
izrj,1=仇
izrn,1=犨
izsk,1=绸
iztc,1=畤
izva,1=丑
izvc,1=筹
izyv,1=酬
izzc,1=踌
izzq,1=臭
jbcd,1=荩
jbda,1=殣
jbdo,1=溍
jbdy,1=浸
jbga,1=廑
jbgj,1=靳
jbhd,1=烬
jbkx,1=噤
jblv,1=卺
jblx,1=紧
jbma,1=槿
jbmx,1=禁
jbna,1=堇
jbne,1=觐
jbpl,1=斤
jbpv,1=衿
jbpx,1=襟
jbpy,1=祲
jbra,1=金
jbrv,1=今
jbry,1=仅
jbta,1=墐
jbua,1=馑
jbvl,1=筋
jbwa,1=瑾
jbwy,1=珒
jbxa,1=慬
jbyo,1=晋
jbzj,1=进
jiae,1=鲫
jiaj,1=鱾
jiak,1=髻
jial,1=鲚
jian,1=棘
jibo,1=瘠
jibu,1=疾
jiby,1=寂
jica,1=蕺
jicj,1=芨
jick,1=䓫
jicl,1=荠
jidl,1=济
jido,1=脊
jidw,1=激
jidx,1=漈
jidz,1=洎
jiej,1=岌
jieo,1=嵴
jiex,1=际
jifk,1=掎
jify,1=技
jiga,1=暨
jigj,1=麂
jigt,1=堲
jigv,1=既
jihb,1=积
jihw,1=稷
jihz,1=季
jiij,1=虮
jiik,1=徛
jiit,1=墼
jika,1=戢
jikd,1=戢
jikj,1=叽
jila,1=亟
jime,1=楫
jimj,1=极
jini,1=姬
jink,1=犄
jinl,1=姬
jiny,1=妓
jioj,1=肌
jipv,1=几
jipx,1=祭
jiqb,1=其
jiqo,1=期
jiqt,1=基
jiqx,1=惎
jirk,1=佶
jirm,1=集
jirv,1=偈
jiry,1=伎
jisd,1=罽
jise,1=缉
jisj,1=纪
jisk,1=给
jism,1=羁
jisr,1=绩
jitk,1=畸
jiuj,1=饥
jiuk,1=吉
jiur,1=赍
jiuy,1=屐
jivb,1=箕
jivk,1=笄
jivo,1=籍
jiwd,1=剂
jiwl,1=齑
jixz,1=悸
jiyj,1=讥
jiyk,1=诘
jiyl,1=霁
jiyn,1=鸡
jiyt,1=畿
jizl,1=跻
jizo,1=蹐
jizx,1=跽
jkal,1=井
jkax,1=鲸
jkbg,1=痉
jkcg,1=茎
jkck,1=警
jkco,1=菁
jkcw,1=敬
jkdg,1=泾
jkdj,1=汫
jkdl,1=净
jkej,1=阱
jkfe,1=靓
jkfl,1=静
jkfn,1=䴖
jkfu,1=旌
jkgx,1=麖
jkje,1=镜
jkjo,1=鼱
jkle,1=竞
jkmg,1=粳
jkno,1=婧
jkog,1=胫
jkoj,1=肼
jkoo,1=睛
jkox,1=景
jkqe,1=獍
jkqx,1=猄
jkrw,1=儆
jkrx,1=倞
jksg,1=经
jkte,1=境
jkvd,1=刭
jkvo,1=箐
jkvr,1=颈
jkwx,1=璟
jlac,1=鳉
jlag,1=豇
jlcc,1=蒋
jlcg,1=茳
jldd,1=奖
jldg,1=江
jldl,1=洚
jldm,1=桨
jldu,1=浆
jldy,1=酱
jlel,1=降
jlga,1=疆
jlgi,1=强
jlgn,1=犟
jlgx,1=弶
jlkj,1=匠
jllr,1=耩
jlmi,1=糨
jloi,1=膙
jlra,1=僵
jlsa,1=缰
jlsl,1=绛
jlua,1=礓
jlyn,1=姜
jmad,1=戋
jman,1=鳒
jmat,1=鲣
jmbd,1=剪
jmbn,1=鹣
jmbr,1=蹇
jmbx,1=翦
jmci,1=茧
jmck,1=菅
jmcn,1=蒹
jmcz,1=荐
jmdd,1=湔
jmdj,1=渐
jmdo,1=涧
jmdq,1=歼
jmfd,1=拣
jmfn,1=搛
jmgg,1=靬
jmgz,1=鞬
jmjo,1=锏
jmjz,1=键
jmkj,1=贱
jmlj,1=鉴
jmme,1=枧
jmmz,1=毽
jmng,1=奸
jmnz,1=犍
jmoa,1=睑
jmoj,1=暕
jmoz,1=腱
jmpo,1=裥
jmra,1=俭
jmrd,1=剑
jmrn,1=牮
jmrz,1=健
jmsk,1=缄
jmsn,1=缣
jmuj,1=饯
jmuk,1=碱
jmvd,1=箭
jmve,1=舰
jmvj,1=笺
jmvo,1=简
jmxd,1=尖
jmyd,1=谫
jmyg,1=艰
jmzj,1=践
jmzk,1=趼
jmzy,1=建
jmzz,1=踺
jnau,1=斠
jnax,1=鲛
jnbc,1=皭
jnbx,1=皎
jncb,1=藠
jncj,1=艽
jncx,1=茭
jndh,1=湫
jndw,1=浇
jndy,1=角
jnex,1=峧
jnfe,1=搅
jnil,1=轿
jniw,1=徼
jnix,1=蛟
jnkc,1=嚼
jnkh,1=噍
jnlw,1=教
jnml,1=骄
jnmx,1=校
jnmy,1=椒
jnnx,1=姣
jnoe,1=脚
jnox,1=胶
jnqx,1=狡
jnrn,1=鹪
jnrw,1=侥
jnrx,1=佼
jnsw,1=缴
jnsx,1=绞
jnul,1=矫
jnux,1=饺
jnvd,1=剿
jnwe,1=郊
jnwn,1=䴔
jnwx,1=交
jnxe,1=觉
jnzx,1=跤
jpak,1=鲒
jpbb,1=皆
jpbe,1=疖
jpbl,1=疥
jpce,1=节
jpcl,1=芥
jpco,1=藉
jpdb,1=湝
jpdn,1=解
jpel,1=阶
jpfk,1=拮
jpfn,1=㛃
jpfr,1=捷
jpfv,1=揭
jpfx,1=絜
jpil,1=蚧
jpkb,1=喈
jpkg,1=嗟
jplo,1=耤
jpmb,1=楷
jpmh,1=杰
jpmk,1=桔
jpmn,1=檞
jpnq,1=姐
jpnr,1=婕
jpor,1=睫
jprl,1=介
jpro,1=借
jprv,1=偈
jpsk,1=结
jptl,1=劫
jpuf,1=截
jpul,1=劼
jpur,1=颉
jpuv,1=碣
jpuy,1=届
jpva,1=孑
jpwl,1=玠
jpxc,1=悈
jpyg,1=讦
jpyv,1=羯
jqah,1=鬏
jqdj,1=氿
jqdy,1=酒
jqey,1=㠇
jqfa,1=韭
jqiv,1=厩
jqjh,1=灸
jqjn,1=鸠
jqkh,1=啾
jqlo,1=旧
jqmj,1=桕
jqmv,1=阄
jqpa,1=臼
jqpn,1=久
jqpv,1=九
jqqw,1=救
jqry,1=僦
jqsl,1=纠
jqtl,1=赳
jqwk,1=咎
jqwn,1=鹫
jqwy,1=就
jrbi,1=蠲
jrdo,1=涓
jrfo,1=捐
jrho,1=焆
jrjm,1=桊
jrjn,1=镌
jrkn,1=鹃
jrkv,1=圈
jrmv,1=棬
jrno,1=娟
jrnv,1=婘
jrqo,1=狷
jrrn,1=隽
jrrv,1=倦
jrxe,1=鄄
jsbk,1=窘
jsdk,1=泂
jshk,1=扃
jskk,1=冏
jsoh,1=䐃
jssk,1=䌹
jstk,1=坰
jszk,1=迥
jtar,1=鳜
jtcr,1=蕨
jtdg,1=觖
jtdy,1=角
jtei,1=崛
jtfg,1=抉
jtfi,1=掘
jtfr,1=撅
jtfy,1=攫
jthh,1=燋
jtid,1=劂
jtir,1=厥
jtjr,1=镢
jtkc,1=嚼
jtkr,1=噘
jtku,1=噱
jtmr,1=橛
jtmy,1=桷
jtoy,1=矍
jtpc,1=爵
jtqr,1=獗
jtqy,1=玃
jtrf,1=傕
jtri,1=倔
jtvn,1=孓
jtwy,1=珏
jtxe,1=觉
jtyg,1=诀
jtyk,1=谲
jtyy,1=叕
jtzr,1=蹶
jual,1=车
jubn,1=窭
jubq,1=疽
juck,1=莒
jucm,1=菊
jucq,1=苴
judk,1=泃
juej,1=岠
juek,1=崌
juen,1=聚
jueq,1=岨
jufk,1=拘
jufm,1=掬
jugk,1=鞫
jugm,1=鞠
juhj,1=秬
juhk,1=焗
jujj,1=钜
jujk,1=锔
juka,1=巨
jukq,1=咀
jula,1=且
jumj,1=柜
jumk,1=桔
juml,1=榉
junb,1=犋
juny,1=娵
juof,1=瞿
juok,1=腒
juon,1=䴗
jupk,1=裾
juqf,1=雎
juqq,1=狙
jurb,1=俱
jurk,1=倨
jutc,1=弆
juud,1=剧
juuj,1=矩
juuk,1=居
juun,1=屦
juuq,1=砠
juvk,1=筥
juwq,1=珇
juyj,1=讵
juzk,1=踞
juzy,1=踽
jxag,1=戛
jxan,1=夹
jxbk,1=痂
jxby,1=瘕
jxck,1=茄
jxcy,1=葭
jxej,1=岬
jxfj,1=挟
jxfk,1=拮
jxfx,1=恝
jxje,1=郏
jxjj,1=铗
jxjr,1=颊
jxku,1=斝
jxll,1=甲
jxlm,1=驾
jxly,1=袈
jxmr,1=槚
jxoj,1=胛
jxqd,1=猰
jxrk,1=伽
jxrl,1=价
jxrt,1=佳
jxur,1=颉
jxvk,1=笳
jxvy,1=叚
jxwk,1=珈
jxxr,1=贾
jxzk,1=跏
jyak,1=鲪
jybi,1=军
jyby,1=皲
jych,1=菌
jyck,1=莙
jycw,1=葰
jydw,1=浚
jyew,1=峻
jyfk,1=捃
jyjd,1=钧
jyow,1=晙
jyrn,1=隽
jyrw,1=俊
jytd,1=均
jytw,1=畯
jyvd,1=筠
jywk,1=珺
jyye,1=郡
kakb,1=咔
kakk,1=喀
kaob,1=胩
kaub,1=卡
kcdv,1=洘
kcfv,1=拷
kchf,1=㸆
kchv,1=烤
kcjv,1=铐
kcmv,1=栲
kcnf,1=靠
kcnk,1=犒
kdac,1=开
kdcb,1=蒈
kded,1=剀
kdej,1=凯
kdfb,1=揩
kdjb,1=锴
kdjj,1=铠
kdjk,1=锎
kdmb,1=楷
kdxj,1=恺
kdxq,1=忾
kdxv,1=慨
kebg,1=窠
kebk,1=疴
keck,1=苛
kedk,1=可
kedm,1=溘
keek,1=岢
kegg,1=髁
kehg,1=稞
kehk,1=炣
keik,1=轲
keiu,1=蝌
kejg,1=锞
kekk,1=呵
kekm,1=嗑
kekr,1=咳
kemg,1=骒
kemk,1=柯
keom,1=瞌
kepk,1=牁
keqe,1=氪
kesg,1=缂
keue,1=克
keuj,1=壳
keum,1=磕
kewk,1=珂
kewr,1=颏
kexc,1=悈
keyg,1=课
kfgt,1=垦
kfgx,1=恳
kfko,1=啃
kfpg,1=裉
kfug,1=硍
kfvg,1=龈
kfvj,1=龂
kfvo,1=肯
kfwg,1=珢
kgjt,1=铿
kgkj,1=吭
khfg,1=扛
khfj,1=抗
khgn,1=康
khjj,1=钪
khmj,1=闶
khmn,1=糠
khrj,1=伉
khwj,1=亢
khxn,1=慷
kjcr,1=莰
kjer,1=崁
kjev,1=嵁
kjgd,1=刊
kjii,1=衎
kjmm,1=槛
kjmw,1=阚
kjow,1=瞰
kjqg,1=戡
kjql,1=勘
kjrl,1=龛
kjrv,1=侃
kjtl,1=墈
kjtr,1=坎
kjtv,1=堪
kjul,1=磡
kjuo,1=看
kjur,1=砍
kkas,1=鲙
kkcd,1=蒯
kkcr,1=蒉
kkds,1=浍
kkfk,1=㧟
kkks,1=哙
kkos,1=脍
kkqs,1=狯
kkre,1=郐
kkrs,1=侩
kktg,1=块
kkvg,1=筷
kkxg,1=快
klde,1=况
kldi,1=夼
kldw,1=洭
klge,1=邝
klkw,1=哐
klmw,1=框
klog,1=旷
klow,1=眶
klqw,1=狂
klsg,1=纩
kltg,1=圹
klug,1=矿
klvw,1=筐
klyw,1=诓
kode,1=漷
kofg,1=扩
kofk,1=括
koge,1=廓
koik,1=蛞
komk,1=栝
krbe,1=宽
krge,1=髋
krur,1=款
ksbg,1=空
kseg,1=崆
ksfg,1=控
ksgx,1=恐
ksrg,1=倥
kstg,1=埪
ksug,1=硿
ksvg,1=箜
kszv,1=孔
kuck,1=苦
kugi,1=库
kugk,1=骷
kukf,1=圐
kukq,1=哭
kuoi,1=朏
kupi,1=裤
kusk,1=绔
kuuq,1=矻
kuyk,1=酷
kvbe,1=窥
kvbw,1=夔
kvcr,1=蒉
kvct,1=葵
kvdr,1=溃
kvdt,1=奎
kvee,1=岿
kveg,1=隗
kver,1=聩
kvev,1=亏
kvft,1=揆
kvgu,1=魁
kvht,1=煃
kvit,1=蝰
kvko,1=喟
kvkr,1=匮
kvkt,1=喹
kvmt,1=骙
kvmu,1=櫆
kvot,1=暌
kvrg,1=傀
kvum,1=盔
kvur,1=馈
kvvg,1=戣
kvvr,1=篑
kvxg,1=愧
kvxl,1=悝
kvxr,1=愦
kvzt,1=跬
kwud,1=剋
kxdk,1=夸
kxfk,1=挎
kxnk,1=姱
kxok,1=胯
kxrk,1=侉
kxtk,1=垮
kxzk,1=跨
kyab,1=鲲
kyaw,1=髡
kyfm,1=捆
kyft,1=堃
kyhb,1=焜
kyjb,1=锟
kykm,1=困
kymm,1=阃
kynb,1=婫
kyob,1=昆
kyon,1=鹍
kypi,1=裈
kytu,1=坤
kyuy,1=壸
kywb,1=琨
kyxm,1=悃
kyyb,1=醌
kzby,1=寇
kzcv,1=芤
kzcy,1=蔻
kzfk,1=扣
kzfx,1=抠
kzla,1=口
kzox,1=眍
kzvk,1=筘
labd,1=瘌
lack,1=落
lafl,1=拉
lagl,1=鞡
laid,1=蝲
laio,1=蜡
lajv,1=镴
lakl,1=啦
lalu,1=辣
laoj,1=旯
laoo,1=腊
latl,1=垃
laud,1=剌
laul,1=砬
lazv,1=邋
lbal,1=鳞
lbcf,1=蔺
lbdl,1=潾
lbdm,1=淋
lbdx,1=凛
lbel,1=嶙
lbfs,1=拎
lbgl,1=麟
lbgx,1=廪
lbkm,1=啉
lbmv,1=粼
lbmx,1=檩
lbol,1=膦
lbre,1=邻
lbrr,1=赁
lbul,1=磷
lbvm,1=箖
lbwk,1=吝
lbwl,1=璘
lbwm,1=琳
lbxx,1=懔
lbym,1=霖
lbzf,1=躏
lbzl,1=遴
lcbl,1=痨
lccb,1=荖
lcck,1=落
lccl,1=劳
lcdl,1=涝
lcdx,1=潦
lcel,1=崂
lcfl,1=捞
lchk,1=烙
lcjb,1=铑
lcjl,1=铹
lckl,1=唠
lclb,1=老
lcll,1=耢
lcmb,1=栳
lcnb,1=姥
lcnp,1=嫪
lcrb,1=佬
lcsk,1=络
lcyp,1=醪
ldan,1=来
ldbr,1=癞
ldcl,1=莱
lddl,1=涞
lddr,1=濑
ldel,1=崃
ldlr,1=赉
ldml,1=梾
ldol,1=睐
ldrl,1=俫
ldur,1=赖
ldvr,1=籁
leal,1=鳓
ledl,1=泐
legl,1=勒
lekl,1=叻
leol,1=肋
lepd,1=乐
lerl,1=仂
leuk,1=饹
levl,1=了
lgew,1=崚
lgmw,1=棱
lgtf,1=塄
lgtw,1=堎
lgxf,1=愣
lhcl,1=蒗
lhco,1=蓢
lhde,1=郎
lhdl,1=浪
lhdm,1=㮾
lhdo,1=朗
lhdt,1=塱
lhel,1=崀
lhge,1=廊
lhhl,1=稂
lhie,1=螂
lhjl,1=锒
lhke,1=啷
lhme,1=榔
lhml,1=阆
lhol,1=㫰
lhql,1=狼
lhtl,1=埌
lhvl,1=筤
lhwl,1=琅
liaa,1=鳢
liad,1=丽
lial,1=鲤
libl,1=疬
libw,1=疠
licl,1=莅
licu,1=藜
lida,1=澧
lidl,1=沥
lidm,1=溧
lied,1=峛
lihh,1=黧
lihm,1=梨
lihn,1=犁
lihq,1=戾
lihu,1=黎
liid,1=蜊
liil,1=励
liiw,1=厉
likl,1=喱
likq,1=唳
lila,1=里
liml,1=粒
limu,1=㰀
limw,1=粝
limz,1=李
linl,1=娌
lipv,1=礼
liqd,1=猁
liql,1=狸
lird,1=俐
lirl,1=俪
lirm,1=傈
lisd,1=缡
lisf,1=罹
lisk,1=詈
litl,1=坜
liul,1=砬
liuw,1=砺
livd,1=篱
livl,1=笠
livm,1=篥
livn,1=隶
livp,1=力
liwa,1=立
liwl,1=理
liwn,1=嫠
liya,1=醴
liyd,1=醨
liyl,1=雳
liyy,1=叕
lizl,1=跞
ljbs,1=兰
ljcm,1=蓝
ljdj,1=澜
ljex,1=岚
ljfe,1=揽
ljfs,1=拦
ljhs,1=烂
ljjj,1=镧
ljkm,1=啉
ljme,1=榄
ljmj,1=阑
ljmn,1=婪
ljms,1=栏
ljoj,1=暕
ljpj,1=襕
ljsg,1=罱
ljvm,1=篮
ljwj,1=斓
ljxr,1=懒
ljyj,1=谰
lkaw,1=鲮
lkcs,1=苓
lkcw,1=菱
lkdw,1=凌
lkeh,1=灵
lkes,1=聆
lkew,1=陵
lkis,1=蛉
lkjs,1=铃
lkkl,1=另
lkmh,1=棂
lkms,1=柃
lkmw,1=棱
lkns,1=姈
lkos,1=昤
lkpw,1=祾
lkrn,1=鸰
lkrr,1=领
lkrs,1=伶
lkrw,1=瓴
lkrx,1=翎
lksw,1=绫
lkvs,1=舲
lkws,1=玲
lkxw,1=㥄
lkye,1=酃
llad,1=两
lldg,1=良
lldx,1=凉
llfe,1=靓
llil,1=辆
llix,1=辌
llml,1=粮
llmx,1=椋
llol,1=量
llox,1=晾
llrl,1=俍
llzl,1=踉
lmaz,1=鲢
lmca,1=莶
lmcw,1=蔹
lmcz,1=莲
lmdn,1=濂
lmdw,1=潋
lmdx,1=奁
lmdz,1=涟
lmet,1=联
lmgn,1=廉
lmhd,1=炼
lmin,1=蠊
lmjn,1=镰
lmjz,1=链
lmmz,1=梿
lmoa,1=脸
lmpa,1=裣
lmpz,1=裢
lmrw,1=敛
lmun,1=磏
lmwj,1=瑓
lmwx,1=恋
lmwz,1=琏
lmxs,1=怜
lnan,1=鹩
lnbp,1=寥
lnbx,1=寮
lncp,1=蓼
lndn,1=鹩
lndp,1=漻
lnee,1=聊
lnfk,1=撂
lnfx,1=撩
lngp,1=髎
lnhx,1=燎
lnjl,1=钌
lnjx,1=镣
lnkx,1=嘹
lnmu,1=料
lnmx,1=橑
lnnx,1=嫽
lnox,1=瞭
lnqx,1=獠
lnrx,1=僚
lnsx,1=缭
lnuu,1=尥
lnvl,1=了
lnvx,1=簝
lnzl,1=辽
lnzx,1=蹽
lobx,1=瘰
locg,1=蓏
lock,1=落
locn,1=荦
locx,1=萝
lodl,1=泺
lodx,1=漯
lofc,1=捋
lofx,1=摞
lohk,1=烙
loix,1=螺
lojx,1=锣
lokk,1=咯
lokx,1=啰
lomk,1=骆
lomx,1=椤
loon,1=脶
lopg,1=裸
loqx,1=猡
lorg,1=倮
losk,1=络
losx,1=罗
louk,1=硌
lovx,1=箩
lowk,1=珞
lozl,1=跞
lozx,1=逻
lpdd,1=冽
lpdh,1=烈
lpdn,1=䴕
lpdy,1=裂
lpfq,1=捩
lpoc,1=脟
lpqo,1=猎
lptc,1=埒
lptd,1=趔
lpul,1=劣
lqbt,1=瘤
lqdd,1=浏
lqdj,1=鎏
lqdp,1=漻
lqdt,1=溜
lqdy,1=瑬
lqej,1=陆
lqfv,1=旒
lqht,1=熘
lqjp,1=镠
lqjt,1=飗
lqjv,1=锍
lqme,1=柳
lqmt,1=榴
lqpn,1=鹠
lqpt,1=留
lqsk,1=绺
lqst,1=罶
lqtp,1=疁
lqut,1=馏
lqwb,1=六
lqwd,1=刘
lqwe,1=珋
lqwv,1=琉
